dicots 	 Pentaglottis_sempervirens 	 draft
dicots 	 Persicaria_amphibia 	 draft
dicots 	 Persicaria_maculosa 	 draft
dicots 	 Polygonum_aviculare 	 draft
dicots 	 Polygonum_maritimum 	 draft
dicots 	 Populus_nigra 	 draft
dicots 	 Populus_tremula 	 draft
dicots 	 Potentilla_anserina 	 draft
dicots 	 Potentilla_sterilis 	 draft
dicots 	 Primula_scotica 	 draft
dicots 	 Primula_veris 	 draft
dicots 	 Primula_vulgaris 	 draft
dicots 	 Prunus_avium 	 draft
dicots 	 Prunus_padus 	 draft
dicots 	 Pseudognaphalium_luteoalbum 	 draft
dicots 	 Pulicaria_dysenterica 	 draft
dicots 	 Pyrus_communis 	 draft
dicots 	 Quercus_cerris 	 draft
dicots 	 Quercus_petraea 	 draft
dicots 	 Quercus_robur 	 draft
dicots 	 Ranunculus_sardous 	 draft
dicots 	 Ranunculus_sceleratus 	 draft
dicots 	 Rhinanthus_minor 	 draft
dicots 	 Rosa_rugosa 	 draft
dicots 	 Rosa_spinosissima 	 draft
dicots 	 Rubus_caesius 	 draft
dicots 	 Rubus_idaeus 	 draft
dicots 	 Salicornia_ramosissima 	 draft
dicots 	 Salix_alba 	 draft
dicots 	 Salix_arbuscula 	 draft
dicots 	 Salix_aurita 	 draft
dicots 	 Salix_caprea 	 draft
dicots 	 Salix_cinerea 	 draft
dicots 	 Salix_euxina 	 draft
dicots 	 Salix_purpurea 	 draft
dicots 	 Salix_repens 	 draft
dicots 	 Salix_viminalis 	 draft
dicots 	 Sambucus_nigra 	 draft
dicots 	 Samolus_valerandi 	 draft
dicots 	 Scutellaria_galericulata 	 draft
dicots 	 Scutellaria_minor 	 draft
dicots 	 Senecio_squalidus 	 draft
dicots 	 Sherardia_arvensis 	 draft
dicots 	 Solanum_dulcamara 	 draft
dicots 	 Solanum_nigrum 	 draft
dicots 	 Sorbus_bristoliensis 	 draft
dicots 	 Spergularia_bocconei 	 draft
dicots 	 Spergularia_marina 	 draft
dicots 	 Tamarix_gallica 	 draft
dicots 	 Tanacetum_parthenium 	 draft
dicots 	 Tanacetum_vulgare 	 draft
dicots 	 Tragopogon_pratensis 	 draft
dicots 	 Trifolium_dubium 	 draft
dicots 	 Trifolium_fragiferum 	 draft
dicots 	 Trifolium_occidentale 	 draft
dicots 	 Trifolium_striatum 	 draft
dicots 	 Trifolium_subterraneum 	 draft
dicots 	 Ulmus_glabra 	 draft
dicots 	 Umbilicus_rupestris 	 draft
dicots 	 Urtica_dioica 	 draft
dicots 	 Urtica_urens 	 draft
dicots 	 Vaccinium_vitis_idaea 	 draft
dicots 	 Verbascum_thapsus 	 draft
dicots 	 Verbena_officinalis 	 draft
dicots 	 Veronica_arvensis 	 draft
dicots 	 Veronica_persica 	 draft
dicots 	 Veronica_serpyllifolia 	 draft
dicots 	 Veronica_triphyllos 	 draft
