insects 	 Mesoligia_furuncula 	 genomic_data 	 ilMesFuru2 	 hic-arima2
insects 	 Metalampra_italica 	 genomic_data 	 ilMetItal1 	 10x
insects 	 Micropterix_aruncella 	 genomic_data 	 ilMicArun1 	 10x
insects 	 Milichia_ludens 	 genomic_data 	 idMilLude2 	 hic-arima2
insects 	 Miltochrista_miniata 	 genomic_data 	 ilMilMini1 	 10x
insects 	 Miltochrista_miniata 	 genomic_data 	 ilMilMini1 	 pacbio
insects 	 Miltochrista_miniata 	 genomic_data 	 ilMilMini2 	 pacbio
insects 	 Miltochrista_miniata 	 genomic_data 	 ilMilMini3 	 hic-arima2
insects 	 Mimas_tiliae 	 genomic_data 	 ilMimTili1 	 10x
insects 	 Mimas_tiliae 	 genomic_data 	 ilMimTili1 	 hic-arima2
insects 	 Mimas_tiliae 	 genomic_data 	 ilMimTili1 	 pacbio
insects 	 Mimumesa_dahlbomi 	 genomic_data 	 iyMimDahl1 	 10x
insects 	 Mimumesa_dahlbomi 	 genomic_data 	 iyMimDahl1 	 hic-arima2
insects 	 Mimumesa_dahlbomi 	 genomic_data 	 iyMimDahl1 	 pacbio
insects 	 Mocydia_crocea 	 genomic_data 	 ihMocCroe1 	 pacbio
insects 	 Mompha_ochraceella 	 genomic_data 	 ilMomOchr1 	 pacbio
insects 	 Morellia_simplex 	 genomic_data 	 idMorSimp1 	 pacbio
insects 	 Morophaga_choragella 	 genomic_data 	 ilMorChor1 	 10x
insects 	 Morophaga_choragella 	 genomic_data 	 ilMorChor1 	 pacbio
insects 	 Musca_autumnalis 	 genomic_data 	 idMusAutu1 	 10x
insects 	 Musca_autumnalis 	 genomic_data 	 idMusAutu1 	 hic-arima2
insects 	 Musca_autumnalis 	 genomic_data 	 idMusAutu1 	 pacbio
insects 	 Muscina_levida 	 genomic_data 	 idMusLevi1 	 10x
insects 	 Muscina_levida 	 genomic_data 	 idMusLevi1 	 hic-arima2
insects 	 Myathropa_florea 	 genomic_data 	 idMyaFlor2 	 10x
insects 	 Myathropa_florea 	 genomic_data 	 idMyaFlor2 	 hic-arima2
insects 	 Myathropa_florea 	 genomic_data 	 idMyaFlor2 	 pacbio
insects 	 Myelois_circumvoluta 	 genomic_data 	 ilMyeCirc1 	 10x
insects 	 Myelois_circumvoluta 	 genomic_data 	 ilMyeCirc1 	 hic-arima2
insects 	 Myelois_circumvoluta 	 genomic_data 	 ilMyeCirc1 	 pacbio
insects 	 Myopa_tessellatipennis 	 genomic_data 	 idMyoTess1 	 hic-arima2
insects 	 Myrmica_ruginodis 	 genomic_data 	 iyMyrRugi1 	 10x
insects 	 Myrmica_ruginodis 	 genomic_data 	 iyMyrRugi1 	 pacbio
insects 	 Myrmica_ruginodis 	 genomic_data 	 iyMyrRugi2 	 hic-arima2
insects 	 Myrmica_sabuleti 	 genomic_data 	 iyMyrSabu2 	 hic-arima2
insects 	 Mythimna_albipuncta 	 genomic_data 	 ilMytAlbi1 	 10x
insects 	 Mythimna_albipuncta 	 genomic_data 	 ilMytAlbi1 	 hic-arima2
insects 	 Mythimna_albipuncta 	 genomic_data 	 ilMytAlbi1 	 pacbio
insects 	 Mythimna_ferrago 	 genomic_data 	 ilMytFerr1 	 10x
insects 	 Mythimna_ferrago 	 genomic_data 	 ilMytFerr1 	 hic-arima2
insects 	 Mythimna_ferrago 	 genomic_data 	 ilMytFerr1 	 pacbio
insects 	 Mythimna_impura 	 genomic_data 	 ilMytImpu1 	 10x
insects 	 Mythimna_impura 	 genomic_data 	 ilMytImpu1 	 hic-qiagen
insects 	 Mythimna_impura 	 genomic_data 	 ilMytImpu1 	 pacbio
insects 	 Nabis_ferus 	 genomic_data 	 ihNabFeru1 	 10x
insects 	 Nabis_ferus 	 genomic_data 	 ihNabFeru1 	 pacbio
insects 	 Nabis_limbatus 	 genomic_data 	 ihNabLimb1 	 10x
